,idx,impact,h_index,quartile
93,9206064,"2,50",283,-
94,9202061,"2,07",174,Q1
95,9212097,"1,08",88,Q2
96,9201032,1,1,Q4
97,9212130,1,1,Q4
98,9207116,"1,18",108,Q1
99,9208058,"1,57",152,Q1
100,9209083,"1,57",152,Q1
101,9209052,1,1,Q4
102,9205040,"1,18",108,Q1
103,9210154,"2,50",283,-
104,9212030,"2,50",283,-
105,9207053,"2,07",174,Q1
106,9212150,1,1,Q4
107,9202039,"1,57",152,Q1
108,9212059,"5,76",673,Q1
109,9207005,1,1,Q4
110,9205074,"1,01",60,Q2
111,9210032,"1,18",108,Q1
112,9210155,"1,08",88,Q2
113,9206016,"2,07",174,Q1
114,9211015,"2,50",283,-
115,9208080,"1,08",88,Q2
116,9203015,1,1,Q4
117,9209059,"1,18",108,Q1
118,9209054,"1,09",198,Q1
119,9203068,"1,08",88,Q2
120,9212102,"5,76",673,Q1
121,9209119,1,1,Q4
122,9207011,"1,08",88,Q2
123,9210013,"2,07",174,Q1
124,9202085,"2,07",174,Q1
125,9206107,"2,07",174,Q1
126,9209022,1,1,Q4
127,9212105,"1,57",152,Q1
128,9201063,"5,76",673,Q1
129,9205093,"2,07",174,Q1
130,9201074,1,1,Q4
131,9207062,"1,08",88,Q2
132,9206081,"2,07",174,Q1
133,9209116,"2,50",283,-
134,9210130,"1,57",152,Q1
135,9205041,"2,07",174,Q1
136,9207109,"2,07",174,Q1
137,9204039,"1,74",189,Q1
138,9202009,"0,96",56,Q2
139,9207052,1,1,Q4
140,9203047,"2,07",174,Q1
141,9201053,1,1,Q4
142,9209079,1,1,Q4
143,9206110,"2,07",174,Q1
144,9201036,"2,07",174,Q1
145,9202076,"1,74",189,Q1
146,9206035,1,1,Q4
147,9204054,"1,09",198,Q1
148,9212129,1,1,Q4
149,9209106,"2,50",283,-
150,9212052,"0,93",119,Q2
151,9204078,1,1,Q4
152,9205069,1,1,Q4
153,9207050,"2,50",283,-
154,9201056,"2,07",174,Q1
155,9208047,"2,07",174,Q1
156,9210053,"1,18",108,Q1
157,9212096,1,1,Q4
158,9210127,1,1,Q4
159,9209026,"2,50",283,-
160,9202079,"1,01",60,Q2
161,9202084,"0,96",56,Q2
162,9211003,"1,57",152,Q1
163,9212031,1,1,Q4
164,9205035,1,1,Q4
165,9205092,"2,07",174,Q1
166,9202087,1,1,Q4
167,9201012,"1,18",108,Q1
168,9212095,"1,08",88,Q2
169,9207073,1,1,Q4
170,9201010,"1,08",88,Q2
171,9211121,"2,07",174,Q1
172,9206058,"1,74",189,Q1
173,9203039,1,1,Q4
174,9211069,1,1,Q4
175,9206052,"1,18",108,Q1
176,9201006,1,1,Q4
177,9202003,1,1,Q4
178,9210028,1,1,Q4
179,9205068,"2,07",174,Q1
180,9201025,"1,57",152,Q1
181,9203021,"2,07",174,Q1
182,9211108,"2,07",174,Q1
183,9208015,"2,50",283,-
184,9212071,"0,73",62,Q2
185,9206043,"1,08",88,Q2
186,9207034,"2,50",283,-
187,9212050,"1,13",115,Q1
188,9201072,"1,08",88,Q2
189,9211110,1,1,Q4
190,9208081,1,1,Q4
191,9212148,1,1,Q4
192,9207054,"2,50",283,-
193,9203056,"5,76",673,Q1
194,9210115,"1,57",152,Q1
195,9204038,1,1,Q4
196,9210134,1,1,Q4
197,9205104,1,1,Q4
198,9206079,"2,50",283,-
199,9210011,1,1,Q4
200,9205060,1,1,Q4
201,9205061,"2,50",283,-
202,9206029,"0,73",62,Q2
203,9203040,"0,98",94,Q2
204,9207030,1,1,Q4
205,9210149,"5,76",673,Q1
206,9210031,"2,50",283,-
207,9211091,1,1,Q4
208,9210087,1,1,Q4
209,9211014,"1,08",88,Q2
210,9205027,"2,50",283,-
211,9204086,"1,09",198,Q1
212,9205101,"1,08",88,Q2
213,9206012,1,1,Q4
214,9210014,1,1,Q4
215,9204003,"2,07",174,Q1
216,9202026,"1,08",88,Q2
217,9210007,1,1,Q4
218,9211101,1,1,Q4
219,9212014,"5,07",274,Q1
220,9204019,1,1,Q4
221,9207117,"2,07",174,Q1
222,9207100,1,1,Q4
223,9206089,"1,74",189,Q1
224,9209086,"1,74",189,Q1
225,9210077,"0,93",119,Q2
226,9204082,"2,07",174,Q1
227,9209036,"2,07",174,Q1
228,9210145,"2,50",283,-
229,9204012,"2,07",174,Q1
230,9210157,"1,25",5,Q3
231,9205028,"2,50",283,-
232,9201047,1,1,Q4
233,9210005,1,1,Q4
234,9201076,"2,07",174,Q1
235,9211105,"1,57",152,Q1
236,9202016,"1,18",108,Q1
237,9206088,1,1,Q4
238,9211045,"1,74",189,Q1
239,9210009,"2,07",174,Q1
240,9202058,1,1,Q4
241,9210058,"1,18",108,Q1
242,9203077,1,1,Q4
243,9207106,1,1,Q4
244,9205056,1,1,Q4
245,9212157,"1,18",108,Q1
246,9202074,"1,08",88,Q2
247,9206009,1,1,Q4
248,9212098,"1,74",189,Q1
249,9207003,"2,07",174,Q1
250,9208079,1,1,Q4
251,9207068,1,1,Q4
252,9203048,"2,50",283,-
253,9210129,1,1,Q4
254,9212015,1,1,Q4
255,9212142,"1,74",189,Q1
256,9210045,1,1,Q4
257,9205038,1,1,Q4
258,9204081,1,1,Q4
259,9203013,"5,76",673,Q1
260,9210120,"1,08",88,Q2
261,9204046,"5,76",673,Q1
262,9208043,1,1,Q4
263,9204001,1,1,Q4
264,9203082,"2,07",174,Q1
265,9204065,"2,07",174,Q1
266,9207031,"1,18",108,Q1
267,9203035,1,1,Q4
268,9210102,"1,18",108,Q1
269,9203004,"2,07",174,Q1
270,9210074,1,1,Q4
271,9206039,"1,69",116,Q1
272,9204016,1,1,Q4
273,9210083,"0,93",119,Q2
274,9211075,1,1,Q4
275,9210159,"1,25",5,Q3
276,9204073,1,1,Q4
277,9211046,1,1,Q4
278,9209029,1,1,Q4
279,9210141,"0,93",119,Q2
280,9203066,"1,08",88,Q2
281,9212104,"2,07",174,Q1
282,9204026,1,1,Q4
283,9210099,"2,07",174,Q1
284,9211106,"1,18",108,Q1
285,9202019,"2,07",174,Q1
286,9205052,1,1,Q4
287,9210061,"1,18",108,Q1
288,9211026,"0,73",62,Q2
289,9206060,"1,08",88,Q2
290,9206017,1,1,Q4
291,9212006,1,1,Q4
292,9205049,"1,08",88,Q2
293,9211073,1,1,Q4
294,9209055,1,1,Q4
295,9208017,"1,09",198,Q1
296,9210022,"5,76",673,Q1
297,9210006,1,1,Q4
298,9201048,"1,18",108,Q1
299,9204035,"1,18",108,Q1
300,9203080,1,1,Q4
301,9212070,"2,07",174,Q1
302,9208028,"1,08",88,Q2
303,9209041,"1,18",108,Q1
304,9205100,"2,07",174,Q1
305,9211017,1,1,Q4
306,9209058,1,1,Q4
307,9205043,"2,50",283,-
308,9207079,"2,07",165,Q1
309,9202089,"1,18",108,Q1
310,9207064,"1,08",88,Q2
311,9208005,"1,18",108,Q1
312,9209100,"0,37",45,Q4
313,9210035,"2,50",283,-
314,9208062,"1,69",116,Q1
315,9210122,"1,18",108,Q1
316,9212087,"0,34",52,Q2
317,9202054,"2,50",283,-
318,9206023,"2,07",174,Q1
319,9211050,"1,18",108,Q1
320,9208065,"1,18",108,Q1
321,9211044,"2,50",283,-
322,9205006,"2,07",174,Q1
323,9212145,"2,07",174,Q1
324,9203028,"1,08",88,Q2
325,9212152,1,1,Q4
326,9207089,"2,50",283,-
327,9202001,"0,96",56,Q2
328,9204066,"1,08",88,Q2
329,9203031,1,1,Q4
330,9210076,"1,18",108,Q1
331,9212028,"1,08",88,Q2
332,9206033,1,1,Q4
333,9210089,"1,57",152,Q1
334,9205014,"1,08",88,Q2
335,9202032,"0,96",56,Q2
336,9205047,"2,07",165,Q1
337,9211055,1,1,Q4
338,9209002,1,1,Q4
339,9210096,"2,07",174,Q1
340,9209121,1,1,Q4
341,9211019,1,1,Q4
342,9206104,"1,18",108,Q1
343,9204102,"2,07",174,Q1
344,9204093,1,1,Q4
345,9206108,"1,74",189,Q1
346,9204061,"1,18",108,Q1
347,9207069,1,1,Q4
348,9208039,1,1,Q4
349,9205089,"2,07",174,Q1
350,9205097,"2,07",174,Q1
351,9209004,"0,93",119,Q2
352,9202043,"2,50",283,-
353,9203064,1,1,Q4
354,9211133,"1,18",108,Q1
355,9211123,1,1,Q4
356,9202038,"2,07",174,Q1
357,9211072,"1,57",152,Q1
358,9209046,1,1,Q4
359,9212132,1,1,Q4
360,9206103,"1,74",189,Q1
361,9211005,1,1,Q4
362,9212069,"1,18",108,Q1
363,9208078,"2,50",283,-
364,9206054,1,1,Q4
365,9204091,1,1,Q4
366,9212065,1,1,Q4
367,9212058,"1,08",88,Q2
368,9211102,1,1,Q4
369,9210017,"2,50",283,-
370,9206008,1,1,Q4
371,9210165,1,1,Q4
372,9207009,"2,07",174,Q1
373,9209017,"2,07",174,Q1
374,9203043,"2,07",174,Q1
375,9211024,"1,08",88,Q2
376,9202035,1,1,Q4
377,9211079,1,1,Q4
378,9208044,"2,07",174,Q1
379,9209118,"1,08",88,Q2
380,9205018,1,1,Q4
381,9210104,"1,09",198,Q1
382,9208003,"2,07",174,Q1
383,9207022,1,1,Q4
384,9201055,1,1,Q4
385,9202011,"2,07",174,Q1
386,9210081,"1,08",88,Q2
387,9210065,"2,50",283,-
388,9210103,"5,76",673,Q1
389,9207004,"0,37",45,Q4
390,9208022,1,1,Q4
391,9209096,1,1,Q4
392,9211041,1,1,Q4
393,9211048,"2,07",174,Q1
394,9209093,1,1,Q4
395,9212103,"1,01",60,Q2
396,9211100,1,1,Q4
397,9211094,1,1,Q4
398,9211095,"2,50",283,-
399,9205117,1,1,Q4
400,9206077,1,1,Q4
401,9204098,1,1,Q4
402,9205110,1,1,Q4
403,9211059,1,1,Q4
404,9208016,"2,07",174,Q1
405,9212082,1,1,Q4
406,9201060,"1,18",108,Q1
407,9206046,1,1,Q4
408,9211009,"1,18",108,Q1
409,9206101,1,1,Q4
410,9207020,"1,08",88,Q2
411,9203030,"2,07",174,Q1
412,9201043,"1,74",189,Q1
413,9207006,1,1,Q4
414,9206072,"2,50",283,-
415,9207098,"1,08",88,Q2
416,9201050,"2,07",174,Q1
417,9209098,1,1,Q4
418,9210107,"1,08",88,Q2
419,9204055,"0,93",119,Q2
420,9212045,"2,07",174,Q1
421,9210016,1,1,Q4
422,9210108,1,1,Q4
423,9205019,"1,08",88,Q2
424,9205059,"2,07",174,Q1
425,9211029,1,1,Q4
426,9204025,"2,50",283,-
427,9209092,1,1,Q4
428,9203042,"2,50",283,-
429,9205088,"1,57",152,Q1
430,9207055,1,1,Q4
431,9208025,"1,08",88,Q2
432,9201062,"1,18",108,Q1
433,9205024,"5,76",673,Q1
434,9202037,"2,50",283,-
435,9212138,1,1,Q4
436,9206102,1,1,Q4
437,9206114,"1,18",108,Q1
438,9211129,1,1,Q4
439,9211061,"2,50",283,-
440,9207036,"0,32",37,Q3
441,9212041,1,1,Q4
442,9211098,"0,73",62,Q2
443,9209085,"1,57",152,Q1
444,9209095,1,1,Q4
445,9211066,"1,09",198,Q1
446,9204097,1,1,Q4
447,9204034,1,1,Q4
448,9206087,1,1,Q4
449,9202007,"2,07",174,Q1
450,9203011,1,1,Q4
451,9209089,1,1,Q4
452,9207113,"2,07",174,Q1
453,9207083,"2,50",283,-
454,9206019,1,1,Q4
455,9203005,1,1,Q4
456,9202034,"2,07",174,Q1
457,9212117,"2,07",174,Q1
458,9207013,1,1,Q4
459,9204009,1,1,Q4
460,9210064,1,1,Q4
461,9206014,"2,07",174,Q1
462,9202063,"1,74",189,Q1
463,9201066,1,1,Q4
464,9209063,"2,07",174,Q1
465,9211012,1,1,Q4
466,9205095,"1,08",88,Q2
467,9210041,1,1,Q4
468,9209035,"2,07",174,Q1
469,9201007,"2,07",174,Q1
470,9209126,1,1,Q4
471,9204027,"2,07",174,Q1
472,9209073,"1,01",60,Q2
473,9206045,"1,08",88,Q2
474,9201001,"1,18",108,Q1
475,9207095,"2,50",283,-
476,9203010,"1,08",88,Q2
477,9207044,1,1,Q4
478,9207059,1,1,Q4
479,9212115,"1,57",152,Q1
480,9201008,1,1,Q4
481,9212007,1,1,Q4
482,9203072,"2,50",283,-
483,9203018,"2,07",174,Q1
484,9208020,1,1,Q4
485,9212032,1,1,Q4
486,9201005,"1,08",88,Q2
487,9204064,"1,57",152,Q1
488,9211068,1,1,Q4
489,9209112,"1,08",88,Q2
490,9210142,"0,37",45,Q4
491,9211025,1,1,Q4
492,9209074,"1,08",88,Q2
493,9212154,"1,57",152,Q1
494,9209072,"2,07",174,Q1
495,9207047,1,1,Q4
496,9211141,"1,57",152,Q1
497,9204092,"1,08",88,Q2
498,9201067,"2,07",174,Q1
499,9211086,"1,18",108,Q1
500,9210023,1,1,Q4
501,9206053,1,1,Q4
502,9209076,"1,01",60,Q2
503,9210117,"0,93",119,Q2
504,9205086,"1,08",88,Q2
505,9210019,1,1,Q4
506,9201065,"2,07",174,Q1
507,9206065,"2,07",174,Q1
508,9208048,1,1,Q4
509,9210025,1,1,Q4
510,9203027,"1,08",88,Q2
511,9209027,"1,08",88,Q2
512,9209132,1,1,Q4
513,9211058,1,1,Q4
514,9205078,"1,08",88,Q2
515,9210080,1,1,Q4
516,9206055,"2,50",283,-
517,9205051,1,1,Q4
518,9201033,"1,08",88,Q2
519,9211126,"1,57",152,Q1
520,9212068,"2,50",283,-
521,9205031,"1,57",152,Q1
522,9206073,"1,18",108,Q1
523,9212086,"2,07",174,Q1
524,9210151,1,1,Q4
525,9212064,1,1,Q4
526,9209131,1,1,Q4
527,9208027,"2,50",283,-
528,9209101,"1,18",108,Q1
529,9210040,"1,18",108,Q1
530,9212149,"2,07",174,Q1
531,9210043,1,1,Q4
532,9210057,1,1,Q4
533,9209129,1,1,Q4
534,9203083,"2,50",283,-
535,9203081,1,1,Q4
536,9206086,"1,08",88,Q2
537,9203069,"2,07",174,Q1
538,9212025,1,1,Q4
539,9209130,1,1,Q4
540,9212114,"2,07",174,Q1
541,9210132,1,1,Q4
542,9207063,"1,08",88,Q2
543,9206006,"2,50",283,-
544,9203029,"2,50",283,-
545,9202008,"2,07",174,Q1
546,9209088,"2,07",174,Q1
547,9211018,"1,18",108,Q1
548,9212054,1,1,Q4
549,9211127,1,1,Q4
550,9201079,"1,57",152,Q1
551,9212026,1,1,Q4
552,9203019,"1,08",88,Q2
553,9209065,1,1,Q4
554,9207086,1,1,Q4
555,9203045,1,1,Q4
556,9208073,1,1,Q4
557,9210063,"1,08",88,Q2
558,9208063,1,1,Q4
559,9202086,1,1,Q4
560,9202072,"1,18",108,Q1
561,9202070,"2,07",174,Q1
562,9201019,1,1,Q4
563,9212040,1,1,Q4
564,9206018,1,1,Q4
565,9210161,1,1,Q4
566,9206094,1,1,Q4
567,9207039,"5,76",673,Q1
568,9205058,1,1,Q4
569,9205103,1,1,Q4
570,9203054,"2,07",174,Q1
571,9209084,"1,08",88,Q2
572,9212134,"1,08",88,Q2
573,9208066,"1,18",108,Q1
574,9208057,1,1,Q4
575,9202028,1,1,Q4
576,9207096,"1,18",108,Q1
577,9204090,"1,18",108,Q1
578,9210110,"2,50",283,-
579,9207107,1,1,Q4
580,9207075,"0,93",119,Q2
581,9204083,"1,01",60,Q2
582,9208068,"0,73",62,Q2
583,9207051,"2,07",174,Q1
584,9204074,"0,93",119,Q2
585,9204072,"2,50",283,-
586,9207094,1,1,Q4
587,9204069,"2,50",283,-
588,9209117,1,1,Q4
589,9203007,"2,50",283,-
590,9212116,1,1,Q4
591,9212072,1,1,Q4
592,9209062,"1,57",152,Q1
593,9208035,"2,07",174,Q1
594,9204058,1,1,Q4
595,9205090,"1,08",88,Q2
596,9206069,1,1,Q4
597,9202073,1,1,Q4
598,9205023,"1,74",189,Q1
599,9206070,"2,50",283,-
600,9209124,1,1,Q4
601,9211122,"2,07",174,Q1
602,9208002,1,1,Q4
603,9208053,1,1,Q4
604,9210075,"0,37",45,Q4
605,9204043,"1,08",88,Q2
606,9211134,"1,18",108,Q1
607,9203051,"2,50",283,-
608,9210038,"2,07",174,Q1
609,9207016,"2,07",174,Q1
610,9210090,"2,07",174,Q1
611,9206085,"1,08",88,Q2
612,9204068,1,1,Q4
613,9204094,"2,07",174,Q1
614,9210079,1,1,Q4
615,9206059,"2,07",174,Q1
616,9204067,"2,07",174,Q1
617,9208038,"1,18",108,Q1
618,9211063,"2,07",174,Q1
619,9204063,"2,07",174,Q1
620,9203062,"1,08",88,Q2
621,9208023,"2,07",174,Q1
622,9203061,1,1,Q4
623,9203008,"2,07",174,Q1
624,9207071,"1,18",108,Q1
625,9209020,1,1,Q4
626,9205094,"2,07",174,Q1
627,9212147,"1,09",198,Q1
628,9207007,1,1,Q4
629,9206066,1,1,Q4
630,9204030,"2,07",174,Q1
631,9212083,"2,50",283,-
632,9210059,1,1,Q4
633,9210111,1,1,Q4
634,9209068,1,1,Q4
635,9205091,"2,50",283,-
636,9212019,1,1,Q4
637,9207112,1,1,Q4
638,9205020,"1,08",88,Q2
639,9208012,"2,07",174,Q1
640,9207065,1,1,Q4
641,9205033,"2,07",174,Q1
642,9205004,"2,07",174,Q1
643,9204062,"1,08",88,Q2
644,9210153,1,1,Q4
645,9212108,1,1,Q4
646,9206097,1,1,Q4
647,9204103,1,1,Q4
648,9209015,"1,57",152,Q1
649,9212055,1,1,Q4
650,9205067,1,1,Q4
651,9205016,1,1,Q4
652,9208006,"0,93",119,Q2
653,9203074,1,1,Q4
654,9206067,1,1,Q4
655,9201029,1,1,Q4
656,9204051,"1,25",5,Q3
657,9208007,"1,57",152,Q1
658,9207114,1,1,Q4
659,9201018,1,1,Q4
660,9206050,1,1,Q4
661,9203070,"2,07",174,Q1
662,9211081,"2,07",174,Q1
663,9208030,"2,07",174,Q1
664,9210098,"1,01",60,Q2
665,9201037,1,1,Q4
666,9204029,1,1,Q4
667,9207102,"1,57",152,Q1
668,9201026,"1,57",152,Q1
669,9211056,"2,07",174,Q1
670,9211011,"2,50",283,-
671,9207001,"1,18",108,Q1
672,9209107,"2,07",174,Q1
673,9204007,1,1,Q4
674,9205063,1,1,Q4
675,9208018,"1,74",189,Q1
676,9211038,"2,07",174,Q1
677,9204096,1,1,Q4
678,9206010,1,1,Q4
679,9206091,1,1,Q4
680,9208046,"0,37",45,Q4
681,9211093,1,1,Q4
682,9208074,"2,07",174,Q1
683,9210106,"2,07",174,Q1
684,9209025,"1,08",88,Q2
685,9201069,"1,08",88,Q2
686,9212093,1,1,Q4
687,9201014,"2,07",174,Q1
688,9205013,1,1,Q4
689,9206034,"1,08",88,Q2
690,9210131,1,1,Q4
691,9205081,"2,07",174,Q1
692,9207066,1,1,Q4
693,9212128,"2,07",174,Q1
694,9207091,1,1,Q4
695,9212046,"2,50",283,-
696,9210091,"0,93",119,Q2
697,9210162,1,1,Q4
698,9211082,1,1,Q4
699,9210027,1,1,Q4
700,9207115,"1,74",189,Q1
701,9208071,"1,08",88,Q2
702,9212109,1,1,Q4
703,9209006,1,1,Q4
704,9210114,1,1,Q4
705,9209031,"1,57",152,Q1
706,9208040,"2,07",174,Q1
707,9204010,"1,69",116,Q1
708,9203026,"1,01",60,Q2
709,9212101,1,1,Q4
710,9212016,"1,18",108,Q1
711,9207049,"2,07",174,Q1
712,9205055,1,1,Q4
713,9202048,1,1,Q4
714,9211131,1,1,Q4
715,9210158,"5,76",673,Q1
716,9203058,1,1,Q4
717,9210012,"2,07",174,Q1
718,9211084,1,1,Q4
719,9211118,1,1,Q4
720,9203052,"5,76",673,Q1
721,9207104,"0,93",119,Q2
722,9208067,"1,18",108,Q1
723,9207028,1,1,Q4
724,9201057,1,1,Q4
725,9211119,"1,57",152,Q1
726,9201078,"1,57",152,Q1
727,9205048,"1,18",108,Q1
728,9202090,"2,50",283,-
729,9210029,1,1,Q4
730,9209125,1,1,Q4
731,9205012,1,1,Q4
732,9209094,1,1,Q4
733,9209011,"2,07",174,Q1
734,9212124,1,1,Q4
735,9206020,1,1,Q4
736,9209061,"1,18",108,Q1
737,9210004,1,1,Q4
738,9210050,1,1,Q4
739,9212080,1,1,Q4
740,9206061,"1,74",189,Q1
741,9211085,1,1,Q4
742,9208055,"5,76",673,Q1
743,9201034,"0,96",56,Q2
744,9205064,"2,07",174,Q1
745,9205107,1,1,Q4
746,9204032,1,1,Q4
747,9207084,"1,18",108,Q1
748,9212034,1,1,Q4
749,9203060,"2,50",283,-
750,9208056,1,1,Q4
751,9204006,1,1,Q4
752,9207002,"2,50",283,-
753,9203032,1,1,Q4
754,9206026,"1,74",189,Q1
755,9207061,1,1,Q4
756,9204015,1,1,Q4
757,9203036,"1,18",108,Q1
758,9201035,"2,07",174,Q1
759,9207081,1,1,Q4
760,9202060,"2,07",174,Q1
761,9210139,1,1,Q4
762,9208045,"1,08",88,Q2
763,9206032,"1,08",88,Q2
764,9210042,"0,93",119,Q2
765,9209081,"1,18",108,Q1
766,9201030,"1,18",108,Q1
767,9206062,"2,50",283,-
768,9202040,1,1,Q4
769,9212144,"1,08",88,Q2
770,9206051,1,1,Q4
771,9212018,1,1,Q4
772,9201004,"2,07",174,Q1
773,9211047,"2,07",174,Q1
774,9210020,1,1,Q4
775,9202075,"5,76",673,Q1
776,9206041,"2,07",174,Q1
777,9208060,"1,18",108,Q1
778,9211007,"2,50",283,-
779,9203053,"1,18",108,Q1
780,9205114,"2,50",283,-
781,9204089,"1,08",88,Q2
782,9206028,"2,07",174,Q1
783,9201049,"2,07",174,Q1
784,9202020,1,1,Q4
785,9212051,"0,93",119,Q2
786,9207076,"2,50",283,-
787,9203063,"2,07",174,Q1
788,9212060,"1,57",152,Q1
789,9205057,"1,74",189,Q1
790,9201046,"2,50",283,-
791,9210126,"1,51",195,Q1
792,9210055,1,1,Q4
793,9208014,"1,74",189,Q1
794,9211076,"2,50",283,-
795,9209044,"1,57",152,Q1
796,9204076,"1,18",108,Q1
797,9210072,1,1,Q4
798,9205113,"2,50",283,-
799,9210094,"2,07",174,Q1
800,9211032,1,1,Q4
801,9205076,"1,18",108,Q1
802,9210097,1,1,Q4
803,9212021,"2,07",165,Q1
804,9211013,"1,08",88,Q2
805,9205029,"2,50",283,-
806,9207042,"2,07",174,Q1
807,9202080,1,1,Q4
808,9208032,"2,07",174,Q1
809,9207057,"0,93",119,Q2
810,9212044,1,1,Q4
811,9205026,"2,07",174,Q1
812,9203017,1,1,Q4
813,9212010,"1,08",88,Q2
814,9207088,"0,73",62,Q2
815,9203079,"5,76",673,Q1
816,9205071,"0,93",119,Q2
817,9212111,1,1,Q4
818,9204008,"1,09",198,Q1
819,9208033,"0,93",119,Q2
820,9206049,1,1,Q4
821,9202055,1,1,Q4
822,9201017,"2,50",283,-
823,9204047,"1,08",88,Q2
824,9210039,1,1,Q4
825,9204040,"1,74",189,Q1
826,9204031,1,1,Q4
827,9212001,1,1,Q4
828,9209110,"2,50",283,-
829,9209038,"2,50",283,-
830,9208009,"1,18",108,Q1
831,9212035,"2,50",283,-
832,9209008,"2,50",283,-
833,9210140,"1,18",108,Q1
834,9205001,"1,08",88,Q2
835,9208075,1,1,Q4
836,9203016,"2,07",174,Q1
837,9202005,"2,50",283,-
838,9205108,1,1,Q4
839,9202081,1,1,Q4
840,9211028,"1,69",116,Q1
841,9212107,1,1,Q4
842,9212002,"0,96",56,Q2
843,9209104,"1,09",198,Q1
844,9210051,1,1,Q4
845,9210049,"5,76",673,Q1
846,9212024,"1,18",108,Q1
847,9205083,1,1,Q4
848,9206015,"2,07",174,Q1
849,9202047,"1,57",152,Q1
850,9203073,1,1,Q4
851,9208072,"0,93",119,Q2
852,9212017,"1,18",108,Q1
853,9210137,1,1,Q4
854,9204049,"2,07",174,Q1
855,9212100,"2,07",174,Q1
856,9210163,1,1,Q4
857,9202002,"2,50",283,-
858,9211130,"2,07",174,Q1
859,9210118,"0,93",119,Q2
860,9210069,"0,73",62,Q2
861,9201054,1,1,Q4
862,9211099,"0,37",45,Q4
863,9208064,"2,50",283,-
864,9205030,"2,07",174,Q1
865,9206022,"2,50",283,-
866,9212112,1,1,Q4
867,9201040,1,1,Q4
868,9206082,"2,07",174,Q1
869,9212126,1,1,Q4
870,9211104,"2,07",174,Q1
871,9205079,"1,18",108,Q1
872,9211115,"2,07",174,Q1
873,9209120,1,1,Q4
874,9203012,1,1,Q4
875,9204014,"2,50",283,-
876,9201003,1,1,Q4
877,9207008,"1,74",189,Q1
878,9212074,1,1,Q4
879,9202049,1,1,Q4
880,9211140,1,1,Q4
881,9201073,1,1,Q4
882,9202023,"2,50",283,-
883,9210105,1,1,Q4
884,9208036,"2,50",283,-
885,9210100,1,1,Q4
886,9209018,1,1,Q4
887,9204088,1,1,Q4
888,9209087,"1,18",108,Q1
889,9210156,1,1,Q4
890,9210109,"5,76",673,Q1
891,9202029,1,1,Q4
892,9209030,"1,08",88,Q2
893,9208037,1,1,Q4
894,9205044,"2,07",174,Q1
